ID,MovieID,GenreID
1,1,1
2,2,2
3,2,3
4,3,1
5,3,4
6,3,5
7,3,6
8,3,7
9,3,8
10,4,1
11,4,7
12,4,8
13,4,15
14,4,16
15,5,10
16,5,17
17,6,5
18,7,9
19,8,9
20,8,11
21,9,9
22,9,10
