GenreID,Genre
1,Comedy
2,Science
3,Fiction
4,Action
5,Thriller
6,Crime
7,Fantasy
8,Adventure
9,Drama
10,Sci-Fi
11,Romance
12,Crime
13,Animation
14,Mystery
15,Family
16,Musical
17,Horror
